marca,anio,kilometraje,combustible,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia
FORD Focus 1.0 ECOBOOST MHEV 114KW ACTIVE 155 5P,10/2022,8.198 km,Gasolina,12 meses,Manual,Berlina mediana o grande,,155 cv,5 Puertas,Blanco,21.600 €,"RESTRENACAR.
Profesional",,No,2025-02-17 11:43:19.251907,ref14450244
MERCEDES-BENZ Clase B 200d 8G-DCT,02/2020,103.683 km,Diesel,12 meses,Automático,Monovolumen,5 asientos,150 cv,5 Puertas,Negro,23.490 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:43:26.212031,ref14689387
HYUNDAI Kona EV Style Sky 150kW,05/2022,55.345 km,Corriente eléctrica,24 meses,Automático,Todo Terreno,5 asientos,204 cv,5 Puertas,Engine Red (sólido),24.500 €,"MEURI OCASION
Profesional",,No,2025-02-17 11:43:34.855574,ref14815160
KIA Sportage 1.6 T-GDi MHEV GT-line DCT 150,12/2022,28.500 km,Gasolina,60 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Black Pearl (metalizado) / Metalizado,33.900 €,"MAS MOTOR
Profesional",,Si,2025-02-17 11:43:42.939664,ref14530374
VOLVO XC90 XC-90 INSCRIPTION AWD 2.0 T8 390CV,12/2019,80.000 km,Gasolina y corriente eléctrica,12 meses,Automático,"4x4, SUV o pickup",,390 cv,5 Puertas,Azul / Metalizado,43.990 €,"GESTICAR BILBAO
Profesional",,No,2025-02-17 11:43:51.336788,ref14830757
BMW X1 sDrive 18d,02/2010,213.000 km,Diesel,12 meses,Manual,Todo Terreno,5 asientos,143 cv,5 Puertas,Negro,14.500 €,"CENTRAL SEMINUEVOS KM 0
Profesional",,No,2025-02-17 11:43:58.721128,ref12862689
BMW Serie 1 116d,04/2024,14.771 km,Diesel,24 meses,Manual,Berlina,5 asientos,116 cv,5 Puertas,Negro / Metalizado,27.950 €,"BMW HISPAMOVIL
Profesional",,Si,2025-02-17 11:44:06.760417,ref14467096
PORSCHE Cayenne Coupé Aut.,07/2019,55.801 km,Gasolina,12 meses,Automático,Coupe,5 asientos,340 cv,5 Puertas,Blanco,73.490 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:44:14.168645,ref12919712
BMW Serie 4 420dA Gran Coupé,01/2024,24.709 km,Diesel,24 meses,Automático,Coupe,5 asientos,190 cv,5 Puertas,Alpine White (sólido),53.300 €,"BMW GRÜNBLAU MOTOR
Profesional",,Si,2025-02-17 11:44:20.999663,ref15289953
PORSCHE Panamera 4 Aut.,01/2020,53.896 km,Gasolina,12 meses,Automático,Berlina,4 asientos,330 cv,5 Puertas,Gris / Metalizado,85.490 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:44:29.794291,ref12895259
KIA Sportage 1.6 T-GDi PHEV 198kW (265CV) Tech 4x4,10/2023,11.000 km,Híbrido,72 meses,Automático,"4x4, SUV o pickup",,265 cv,5 Puertas,Blue Flame (metalizado) / Metalizado,39.500 €,"MAS MOTOR
Profesional",,Si,2025-02-17 11:44:36.279539,ref14530403
CITROEN C4 Grand Spacetourer 1.5BlueHDI S&S C-Series 130,05/2022,89.153 km,Diesel,12 meses,Manual,Monovolumen,7 asientos,130 cv,5 Puertas,blanco / Metalizado,18.900 €,"AUTOKIA
Profesional",,No,2025-02-17 11:44:42.948310,ref14755097
