nombre,calle,municipio,provincia,codigo_postal
ANTONIO FEITO S.A.,"Av. Gumersindo Llorente, 24",Madrid,,28022
Antonio Ocasion,Concertar Cita Previa,Malaga,Málaga,29003
ANTONIO TORRES MARTIN,"La Maso, 10",Madrid,Madrid,28034
ANZEVE S.L.,"C/ Diego Marín Aguilera, 4, Parque Tecnológico De Leganés",Leganés,,28919
APASIONAUTO,Jupiter 2,Godelleta,Valencia,46388
APE PLATAFORMAS ELEVADORAS,Cobalto 168,Hospitalet llobregat,,08907
"APER DIAMOND, S.L.U.",Diego Marin Aguilera 4,Madrid,,28919
APOU,"Via Ausetania, 3",Manlleu,Barcelona,08560
Apoyo Dursan Madrid Torrejón,"Avda. De Madrid, 7",Arganda del rey,Madrid,28500
APT CAR,C/ Vic 8-10,Granollers,Barcelona,08403
AQUASONDA SL,"C/ Los Alcornocales, 28",Torre del mar,,29740
AQUITUCOCHE,"Cuadra Morteras Nave 9Bh, S/N",Castellón de la plana,Castellón,12006
AR MOTOR,Calle Rua Remedios 21,Ourense,Orense,32002
Aracars,- Cita Previa-,Zaragoza,Zaragoza,50005
Aragonesa de Recambios para Limpieza SL,Venta 29,Cadrete,,50420
ARAMÓVIL,"Avenida Alcalde Caballero, 54",Zaragoza,Zaragoza,50014
"ARAVI, S.L.",,,Zaragoza,
ARCI MOTOR,Avda. Narciso Monturiol Parcela 2,Arcos de la frontera,Cádiz,11630
"ARCOMÓVIL, concesionario oficial Ford","Ctra. Madrid, Km. 389",Murcia,Murcia,30100
ÁREA AUTOEXPO,"Poligono Industrial Francoli, Calle E, Parcela 14",Tarragona,Tarragona,43006
AREA EL 9 COTXES,Calle Sant Gil 12-14,Tora,Lleida,25750
AREIA VEHICULOS DE OCASION,García Martín 9 Planta 4,Pozuelo de alarcón,Madrid,28224
Arevalo Logistics,Concertar Cita Previa,Ribarroja,Valencia,46394
ARGÜELLES CARS S.L,"Galileo, 7",Madrid,Madrid,28015
Aridos del Noroeste S.L,"Bispo Romero Lema, S/N,",La coruña,La coruña,15150
Áridos Técnicos,"Ctra Valencia Km 14,8",Madrid,Madrid,28051
ARIES,"Ctra. Madrid-Toledo, Km. 63.500",Olias del rey,Toledo,45280
ARIES VN -STOCK,"Ctra. Madrid-Toledo, Km. 63.500",Toledo,Toledo,45280
ARLANZON MOTOR CUPRA,"Crta. Madrid - Irun, Km.234,400",Burgos,Burgos,09001
ARLANZON MOTOR SEAT,"Crta. Madrid - Irun, Km.234,400",Burgos,Burgos,09001
"ARNABAT, S.A.",,,Barcelona,
ARNAIZ TRANSPORTES Y EXCAVACIONES.,"Gaita, Nº5.",Valladolid,,47170
ARROBAMOTOR,"Ctra. Barcelona, 116",Ripollet,Barcelona,8291
ARTES MOTOR S.L.,Manresa 106,Artés,Barcelona,08271
AS AUTOMÓVILES.,"C/ Zurich, 1",Las rozas,Madrid,28232
AS COMPRA & VENTA CARS,-,Pilar de la horadada,Alicante,03190
ASAUTO HOUSE,C/ Ñora 1,Piedrasblancas,Asturias,33450
ASautos,C/ De Alfredo Corrochano 69,Malaga,Málaga,29006
Ascendum Maquinaria,,,Madrid,
ASENCIO AUTOMOCION,Ctra Arcos-El Bosque Km 1,Arcos de la frontera,Cádiz,11630
ASESCAR JAEN.,C/ Mancha Real 7,Jaen,Jaén,23009
ASHT ON POR T AL LIMITED,"Rúa Río Miño, 13 Spain",Pontevedra,Pontevedra,36163
Asphalt Cars,"Partida Capitana, 5","Guardamar del segura,",Alicante,03140
ASTER AUTOS,"Ctra. Ll-11 Km. 9,4",Lleida,Lleida,25191
ASTIAUTO DONOSTI,"Calle Urdaneta Bidea, 1 Bajo 14",Zarautz,Guipúzcoa,20800
ASTON MARTIN TAYRE,"Glorieta Lopez De Hoyos, 5",Madrid,Madrid,28002
ASTURBENZ,Avda. Gijon Nº 136,Aviles,Asturias,33460
