modelo_titulo,provincia,kilometraje,combustible,distintivo_ambiental,garantia,cambio_automatico,carroceria,plazas,potencia,puertas,color,precio,vendedor_profesional,consumo_medio,certificado,fecha_extraccion,referencia,marca_sola,mes_matricula,anio_matricula,nombre_vendedor_profesional,peninsula_y_baleares,comunidad
Clase C 220 d,Valencia,18286,Diésel,,24.0,True,Berlina,5.0,200.0,4,GRIS,48500,True,,True,2025-02-18 11:32:29.906816,15325018,MERCEDES-BENZ,2,2024,Valdisa Automotor10 Grupo Angal,True,Comunidad Valenciana
Serie 3 M3,Barcelona,260000,Gasolina,B,18.0,False,Coupe,5.0,343.0,2,GRIS,29990,True,11.9,False,2025-02-18 11:32:36.342787,15275762,BMW,4,2001,GARAGE CLASSIC CARS,True,Cataluña
F-Pace 2.0i4D Portfolio Aut. AWD 180,Lugo,127260,Diésel,C,12.0,True,Todo Terreno,5.0,180.0,5,BLANCO,19900,True,5.3,False,2025-02-18 11:32:44.474581,15391148,JAGUAR,10,2017,DITRAMOTOR S.L.,True,Galicia
K3 70kW,Sevilla,1,Eléctrico,0 EMISIONES,96.0,True,Todo Terreno,5.0,95.0,5,BLANCO,23990,True,,False,2025-02-18 11:32:50.218835,15441782,YOOUDOOO,2,2025,AUTO BOSS,True,Andalucía
Clase CLA 180,Lugo,12640,Gasolina,C,36.0,True,Berlina,5.0,136.0,4,AZUL,36900,True,,True,2025-02-18 11:33:00.210711,14851410,MERCEDES-BENZ,3,2023,DITRAM AUTOMOCION MERCEDES-BENZ,True,Galicia
Aygo 1.0 70 X-PLAY CONNECT,Madrid,20000,Gasolina,C,18.0,False,Berlina,,,5,OTROS,10500,True,,True,2025-02-18 11:33:05.362482,7138626,TOYOTA,2,2021,TOYOTA KURUMA OCASIÓN Y SEMINUEVOS PLUS,True,Comunidad de Madrid
Corolla 125H Active Tech,Madrid,60000,Híbrido,ECO,24.0,True,Berlina,5.0,122.0,5,ROJO,21490,True,,True,2025-02-18 11:33:12.216027,15197974,TOYOTA,11,2020,TOYOTA KURUMA OCASIÓN Y SEMINUEVOS PLUS,True,Comunidad de Madrid
Range Rover Evoque 1.5 I3 PHEV Dynamic SE AWD Auto,Barcelona,4900,Híbrido Enchufable,0 EMISIONES,60.0,True,Todo Terreno,5.0,309.0,5,OTROS,68900,True,,False,2025-02-18 11:33:19.911590,12683683,LAND-ROVER,1,2024,QUADIS Landmotors,True,Cataluña
Berlingo M1 Berlina Manual de 3 Puertas,Vizcaya,164800,Diésel,,12.0,False,Berlina,,100.0,3,BLANCO,7900,True,,False,2025-02-18 11:33:27.185309,15441785,CITROEN,3,2018,MARKINA MOTOR CB,True,País Vasco
Discovery 3.0D I6 R-Dynamic S Aut. 300,Barcelona,10658,Diésel,ECO,24.0,True,Todo Terreno,5.0,300.0,5,GRIS,79900,True,7.3,False,2025-02-18 11:33:34.241251,15377363,LAND-ROVER,3,2024,QUADIS Landmotors,True,Cataluña
i10 1.0 MPI Tecno,Alicante,45081,Gasolina,C,18.0,False,Berlina,5.0,66.0,5,GRIS,10900,True,4.4,False,2025-02-18 11:33:40.932042,15441848,HYUNDAI,2,2019,WALLSCAR MULTIMARCA GRUPO PAREDES AUTOMOCION,True,Comunidad Valenciana
Kuga 1.5 EcoBoost ST-Line X FWD 150,Cádiz,16700,Gasolina,C,18.0,False,Todo Terreno,5.0,150.0,5,NEGRO,30990,True,5.5,True,2025-02-18 11:33:47.387007,12458496,FORD,1,2023,"Motores Cádiz, concesionario oficial Ford",True,Andalucía
X1 sDrive 18dA,Alicante,87636,Diésel,C,18.0,True,Todo Terreno,5.0,150.0,5,BLANCO,21900,True,4.3,False,2025-02-18 11:33:54.496249,15441847,BMW,12,2016,WALLSCAR MULTIMARCA GRUPO PAREDES AUTOMOCION,True,Comunidad Valenciana
500 1.2 Lounge,Alicante,85121,Gasolina,C,18.0,False,Berlina,4.0,69.0,3,NEGRO,9300,True,5.1,False,2025-02-18 11:34:00.813255,15441846,FIAT,5,2016,WALLSCAR MULTIMARCA GRUPO PAREDES AUTOMOCION,True,Comunidad Valenciana
Q2 30 TFSI S line 81kW,Madrid,27500,Gasolina,C,12.0,False,Todo Terreno,5.0,110.0,5,NEGRO,28990,True,,False,2025-02-18 11:34:08.106510,15251283,AUDI,3,2023,CARPLUS PARLA,True,Comunidad de Madrid
T-Roc 1.0 TSI Más 85kW,Valencia,1,Gasolina,C,36.0,False,Todo Terreno,5.0,115.0,5,OTROS,26868,True,,False,2025-02-18 11:34:43.797160,15361000,VOLKSWAGEN,2,2025,COMERCIAL ANACA,True,Comunidad Valenciana
Q3 Sportback 35 TFSI S line S tronic,Valencia,1,Gasolina,ECO,36.0,True,Todo Terreno,5.0,150.0,5,OTROS,47430,True,,False,2025-02-18 11:34:51.118276,15371122,AUDI,2,2025,COMERCIAL ANACA,True,Comunidad Valenciana
C3 Aircross Puretech S&S Shine 110,La Rioja,57658,Gasolina,C,18.0,False,Todo Terreno,5.0,110.0,5,OTROS,13500,True,5.0,False,2025-02-18 11:34:57.064218,14136981,CITROEN,10,2019,AUTOMOVILES EDUARDO.,True,La Rioja
Taigo 1.0 TSI Más 85kW,Valencia,1,Gasolina,C,36.0,False,Todo Terreno,5.0,115.0,5,GRIS,22714,True,,False,2025-02-18 11:35:03.540045,15364936,VOLKSWAGEN,2,2025,COMERCIAL ANACA,True,Comunidad Valenciana
Q3 Sportback 35 TDI Black line S tronic,Valencia,1,Diésel,C,36.0,True,Todo Terreno,5.0,150.0,5,NEGRO,48613,True,4.7,False,2025-02-18 11:35:11.734086,15199874,AUDI,1,2025,COMERCIAL ANACA,True,Comunidad Valenciana
Superb Combi 1.6TDI Active DSG 88kW,Sevilla,99000,Diésel,C,12.0,True,Familiar,5.0,120.0,5,AZUL,20990,True,4.2,False,2025-02-18 11:36:49.179700,15318913,SKODA,5,2020,AUTORACE,True,Andalucía
T-Roc 1.0 TSI Edition,Madrid,121749,Gasolina,C,12.0,False,Todo Terreno,5.0,115.0,5,BLANCO,16990,True,5.2,False,2025-02-18 11:36:56.200023,15425085,VOLKSWAGEN,12,2019,CLICARS MADRID,True,Comunidad de Madrid
Arteon Shooting Brake 2.0TDI Elegance DSG7 110kW,Madrid,144285,Diésel,C,12.0,True,Familiar,5.0,150.0,5,BLANCO,23490,True,,False,2025-02-18 11:37:04.179718,15371472,VOLKSWAGEN,9,2021,CLICARS MADRID,True,Comunidad de Madrid
2008 1.2 PureTech S&S Active 100,Barcelona,5,Gasolina,C,24.0,False,Todo Terreno,5.0,100.0,5,GRIS,21900,True,,True,2025-02-18 11:37:11.779609,15180072,PEUGEOT,7,2024,Eutrasa Mollet,True,Cataluña
Clase A 250 e,Madrid,78500,Híbrido,ECO,24.0,True,Berlina,,218.0,5,AZUL,27990,True,,True,2025-02-18 11:37:18.318589,15416197,MERCEDES-BENZ,12,2020,STAR MADRID,True,Comunidad de Madrid
Clase GLC 300 de 4MATIC,Madrid,69646,Híbrido,ECO,24.0,True,"4x4, SUV o pickup",,306.0,5,NEGRO,44990,True,,True,2025-02-18 11:37:25.065942,15377137,MERCEDES-BENZ,11,2020,STAR MADRID,True,Comunidad de Madrid
Clase C 200 d,Madrid,22564,Diésel,,36.0,True,Berlina,,163.0,4,AZUL,41990,True,,True,2025-02-18 11:37:31.501465,15143447,MERCEDES-BENZ,1,2023,STAR MADRID,True,Comunidad de Madrid
206 1.4 X-Line,Murcia,147635,Gasolina,B,6.0,False,Berlina,5.0,75.0,3,BLANCO,2490,True,6.5,False,2025-02-18 11:37:39.078035,15441872,PEUGEOT,1,2003,AUTOMOCION ADAMS,True,Región de Murcia
Clase CLA 250 e Shooting Brake,Madrid,29038,Híbrido,ECO,36.0,True,Familiar,,218.0,5,AZUL,39490,True,,True,2025-02-18 11:37:44.581555,15143459,MERCEDES-BENZ,3,2023,STAR MADRID,True,Comunidad de Madrid
Clase A 180CDI Aut.,Madrid,44008,Diésel,C,24.0,True,Berlina,5.0,109.0,5,OTROS,25790,True,5.2,True,2025-02-18 11:37:49.928716,15416199,MERCEDES-BENZ,12,2020,STAR MADRID,True,Comunidad de Madrid
Clase C 200 d,Madrid,80136,Diésel,,24.0,True,Berlina,,160.0,4,AZUL,28990,True,,True,2025-02-18 11:37:55.956649,15333614,MERCEDES-BENZ,12,2020,STAR MADRID,True,Comunidad de Madrid
Clase C 200 d,Madrid,109079,Diésel,,24.0,True,Berlina,,160.0,4,AZUL,27990,True,,True,2025-02-18 11:38:02.201907,14804039,MERCEDES-BENZ,11,2018,STAR MADRID,True,Comunidad de Madrid
Captur TCe Energy Intens 66kW,Badajoz,74000,Gasolina,C,12.0,False,Todo Terreno,5.0,90.0,5,OTROS,11500,True,5.1,False,2025-02-18 11:38:09.475135,15386695,RENAULT,6,2017,AUTOSERENA OCASION DE BADAJOZ,True,Extremadura
C4 Grand Spacetourer 1.5BlueHDI Shine EAT8 130,Madrid,48598,Diésel,C,12.0,True,Monovolumen,7.0,130.0,5,ROJO,20490,True,4.1,False,2025-02-18 11:38:15.011982,15404340,CITROEN,11,2019,CLICARS MADRID,True,Comunidad de Madrid
5 1.6 Premium 185,Madrid,10165,Gasolina,C,18.0,True,Todo Terreno,5.0,185.0,5,NEGRO,25500,True,,False,2025-02-18 11:38:22.062265,15441832,OMODA,7,2024,Buyndrive - Coslada,True,Comunidad de Madrid
5 1.6 Premium 185,Madrid,12512,Gasolina,C,18.0,True,Todo Terreno,5.0,185.0,5,GRIS,25500,True,,False,2025-02-18 11:38:28.450625,15441831,OMODA,7,2024,Buyndrive - Coslada,True,Comunidad de Madrid
Polo 1.0 TSI Advance 70kW,Málaga,96994,Gasolina,C,12.0,False,Berlina,5.0,95.0,5,BLANCO,14500,True,4.6,False,2025-02-18 11:39:03.606113,15441868,VOLKSWAGEN,12,2020,"CAMPOS (MIGUEL CAMPOS MOTOR, S.L.)",True,Andalucía
Qashqai Q+2 2.0 Acenta 4x2,Madrid,180000,Gasolina,C,12.0,False,Todo Terreno,7.0,140.0,5,GRIS,9900,True,8.0,False,2025-02-18 11:39:10.115318,15441910,NISSAN,9,2010,AutoDeal,True,Comunidad de Madrid
Serie 1 118dA Business,León,25711,Diésel,C,24.0,True,Berlina,5.0,150.0,5,GRIS,33900,True,4.2,True,2025-02-18 11:39:22.395735,15062440,BMW,3,2024,BMW BERNESGA MOTOR,True,Castilla y León
Mégane 1.5dCi Energy Limited 81kW,Madrid,81696,Diésel,C,18.0,False,Berlina,5.0,110.0,5,BLANCO,12999,True,3.7,False,2025-02-18 11:39:29.222072,15441909,RENAULT,6,2018,FT MOTOR,True,Comunidad de Madrid
Galaxy 2.0TDCi Trend 140,Madrid,172000,Diésel,C,18.0,False,Monovolumen,7.0,140.0,5,BLANCO,10999,True,6.0,False,2025-02-18 11:39:36.941681,15441908,FORD,10,2014,FT MOTOR,True,Comunidad de Madrid
Clase C 200CDI BE,Madrid,158260,Diésel,C,18.0,False,Berlina,5.0,136.0,4,BLANCO,15999,True,4.9,False,2025-02-18 11:39:44.072750,15392647,MERCEDES-BENZ,9,2016,FT MOTOR,True,Comunidad de Madrid
Clase CLA 200d AMG Line,Granada,99990,Diésel,C,12.0,False,Coupe,5.0,136.0,4,NEGRO,21499,True,4.4,False,2025-02-18 11:39:51.126028,14753841,MERCEDES-BENZ,8,2016,GARAJE MOTOR,True,Andalucía
Ibiza 1.0 TSI S&S Style 95,Segovia,97000,Gasolina,C,12.0,False,Berlina,5.0,95.0,5,BLANCO,14500,True,4.5,False,2025-02-18 11:39:57.693556,15189754,SEAT,7,2019,KM 100 SEGOVIA,True,Castilla y León
A6 55 TFSIe quattro-ultra Competition,Zamora,39000,Híbrido,ECO,18.0,True,Familiar,,367.0,5,GRIS,47900,True,,False,2025-02-18 11:40:03.092779,15441900,AUDI,10,2022,AUTOMOVILES AUZASA,True,Castilla y León
Q5 35 TDI S line quattro-ultra S tronic 120kW,Zamora,34000,Diésel,C,18.0,True,Todo Terreno,5.0,163.0,5,NEGRO,37800,True,5.4,False,2025-02-18 11:40:09.427935,15441899,AUDI,1,2020,AUTOMOVILES AUZASA,True,Castilla y León
Tiguan 1.5 TSI 150cv TSI ACT Sport BlueMotion,Zaragoza,61950,Gasolina,C,18.0,True,"4x4, SUV o pickup",,150.0,5,OTROS,29900,True,,False,2025-02-18 11:40:15.168164,15437971,VOLKSWAGEN,9,2019,Auto-Cadrete AUTO BARAT,True,Aragón
Formentor 1.4 e-Hybrid 204cv DSG,Zaragoza,27390,Híbrido,ECO,18.0,True,"4x4, SUV o pickup",,204.0,5,BLANCO,29900,True,,False,2025-02-18 11:40:20.662827,15437970,CUPRA,9,2021,Auto-Cadrete AUTO BARAT,True,Aragón
Corolla 125H Active Tech,Zaragoza,47652,Híbrido,ECO,18.0,True,Berlina,5.0,122.0,5,BLANCO,21400,True,,False,2025-02-18 11:40:25.539335,15406603,TOYOTA,4,2021,Auto-Cadrete AUTO BARAT,True,Aragón
C3 1.2 PureTech S&S Feel Pack 110,Madrid,39000,Gasolina,C,18.0,False,Berlina,5.0,110.0,5,GRIS,12990,True,4.6,False,2025-02-18 11:40:32.347107,15441895,CITROEN,3,2022,MuelasMotor,True,Comunidad de Madrid
Tourneo Connect 1.5TDCi Auto-S&S Active 100,Madrid,145000,Diésel,C,18.0,False,Monovolumen,5.0,100.0,5,BLANCO,10990,True,4.4,False,2025-02-18 11:40:37.759976,15441894,FORD,12,2020,MuelasMotor,True,Comunidad de Madrid
Model X 100D,Barcelona,130000,Eléctrico,0 EMISIONES,12.0,True,Todo Terreno,5.0,423.0,5,GRIS,37500,True,,False,2025-02-18 11:41:13.784176,14891504,TESLA,6,2017,TN AUTOSPORT,True,Cataluña
Swace 1.8L GLE,Badajoz,634,Híbrido,ECO,18.0,True,Familiar,5.0,122.0,5,GRIS,27900,True,,False,2025-02-18 11:41:21.466688,15441898,SUZUKI,9,2024,"MAVEN E HIJOS, concesionario oficial Ford",True,Extremadura
Clio 1.5dCi Energy Business 55kW,Segovia,128000,Diésel,C,12.0,False,Berlina,5.0,75.0,5,BLANCO,9900,True,3.6,False,2025-02-18 11:41:28.052153,15054105,RENAULT,7,2019,KM 100 SEGOVIA,True,Castilla y León
i10 1.0 MPI Klass,Badajoz,13164,Gasolina,C,18.0,False,Berlina,5.0,66.0,5,AZUL,12900,True,4.4,False,2025-02-18 11:41:34.988791,15441897,HYUNDAI,11,2020,"MAVEN E HIJOS, concesionario oficial Ford",True,Extremadura
S60 2.4 D5 Momentum 163 Aut.,Badajoz,319555,Diésel,B,18.0,True,Berlina,5.0,163.0,4,ROJO,6499,True,7.5,False,2025-02-18 11:41:42.609893,15441896,VOLVO,6,2007,"MAVEN E HIJOS, concesionario oficial Ford",True,Extremadura
X6 xDrive 40dA,Alicante,110000,Diésel,ECO,12.0,True,Coupe,5.0,340.0,5,NEGRO,61900,True,6.2,False,2025-02-18 11:41:49.435327,15441863,BMW,4,2020,AUTO SALON VILLANUEVA,True,Comunidad Valenciana
Arona 1.6TDI CR S&S Style 95,Segovia,118000,Diésel,C,12.0,False,Todo Terreno,5.0,95.0,5,GRIS,14800,True,4.0,False,2025-02-18 11:41:56.013560,15066252,SEAT,5,2021,KM 100 SEGOVIA,True,Castilla y León
XC40 B4 Plus Aut.,Barcelona,11,Gasolina,ECO,36.0,True,Todo Terreno,5.0,197.0,5,GRIS,45900,True,,False,2025-02-18 11:42:03.335092,15259359,VOLVO,12,2024,GRUPO LESSEPS MOTORS,True,Cataluña
León ST 1.0 eTSI S&S FR XS DSG-7 110,Barcelona,5000,Gasolina,ECO,36.0,True,Familiar,5.0,110.0,5,GRIS,27500,True,,True,2025-02-18 11:42:08.842704,14258731,SEAT,2,2024,GRUPO LESSEPS MOTORS,True,Cataluña
León 1.4 TSI e-Hybrid S&S FR XM DSG-6 204,Barcelona,25,Híbrido Enchufable,0 EMISIONES,36.0,True,Berlina,5.0,205.0,5,GRIS,28900,True,1.4,True,2025-02-18 11:42:13.909821,14258730,SEAT,7,2024,GRUPO LESSEPS MOTORS,True,Cataluña
Formentor 1.5 TSI 150 DSG,Barcelona,3000,Gasolina,C,36.0,True,Todo Terreno,5.0,150.0,5,BLANCO,33500,True,5.5,True,2025-02-18 11:42:21.558752,14258727,CUPRA,1,2024,GRUPO LESSEPS MOTORS,True,Cataluña
Arona 1.0 TSI Ecomotive S&S Style 115,Segovia,117000,Gasolina,C,12.0,False,Todo Terreno,5.0,115.0,5,BLANCO,14500,True,4.9,False,2025-02-18 11:42:26.740983,15109816,SEAT,6,2020,KM 100 SEGOVIA,True,Castilla y León
Kamiq 1.5 TSI Style,Alicante,8200,Gasolina,C,12.0,False,Todo Terreno,5.0,150.0,5,AZUL,24999,True,5.1,True,2025-02-18 11:43:18.874280,15127836,SKODA,12,2023,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Clase A 200CDI BE AMG Line 7G-DCT,Valencia,166159,Diésel,C,12.0,True,Berlina,5.0,136.0,5,NEGRO,14990,True,4.1,False,2025-02-18 11:43:24.966440,15282548,MERCEDES-BENZ,8,2014,Zylautos Motor,True,Comunidad Valenciana
T-Roc 1.0 TSI Advance,Segovia,86000,Gasolina,C,12.0,False,Todo Terreno,5.0,115.0,5,ROJO,18900,True,5.2,False,2025-02-18 11:43:31.625441,14596824,VOLKSWAGEN,1,2019,KM 100 SEGOVIA,True,Castilla y León
León 1.5 eTSI DSG-7 S&S Style Special Edition 150,Alicante,9364,Gasolina,ECO,36.0,True,Berlina,5.0,150.0,5,BLANCO,23500,True,,True,2025-02-18 11:43:37.922443,15127835,SEAT,1,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
A6 3.0TDI S line edition quattro S-T 200kW,Valencia,159771,Diésel,C,12.0,True,Berlina,5.0,272.0,4,GRIS,25490,True,5.1,False,2025-02-18 11:43:42.932472,15282329,AUDI,1,2018,Zylautos Motor,True,Comunidad Valenciana
León 1.5 eTSI DSG-7 S&S Style Special Edition 150,Alicante,8293,Gasolina,ECO,36.0,True,Berlina,5.0,150.0,5,GRIS,23500,True,,True,2025-02-18 11:43:49.441652,15127833,SEAT,1,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Kamiq 1.0 TSI Montecarlo DSG 85kW,Alicante,7500,Gasolina,C,12.0,True,Todo Terreno,5.0,115.0,5,BLANCO,25499,True,,True,2025-02-18 11:43:54.789255,15127831,SKODA,11,2023,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
XC90 D5 Inscription C AWD 235 Aut.,Valencia,149877,Diésel,C,12.0,True,Todo Terreno,7.0,235.0,5,OTROS,35990,True,6.6,False,2025-02-18 11:44:02.061233,15282144,VOLVO,6,2017,Zylautos Motor,True,Comunidad Valenciana
Polo 1.0 TSI R-Line DSG 81kW,Alicante,5000,Gasolina,C,12.0,True,Berlina,5.0,110.0,5,BLANCO,25500,True,,True,2025-02-18 11:44:09.583484,15127830,VOLKSWAGEN,2,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
V60 D4 Summum Aut. 181,Valencia,191337,Diésel,C,12.0,True,Familiar,5.0,181.0,5,GRIS,13990,True,4.3,False,2025-02-18 11:44:15.730464,15260819,VOLVO,9,2016,Zylautos Motor,True,Comunidad Valenciana
T-Roc 2.0TDI Life 85kW,Alicante,6224,Diésel,C,12.0,False,Todo Terreno,5.0,115.0,5,GRIS,31990,True,,True,2025-02-18 11:44:22.334005,15127829,VOLKSWAGEN,3,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Passat Variant 2.0TDI BMT Advance DSG 110kW,Valencia,178993,Diésel,C,12.0,True,Familiar,5.0,150.0,5,GRIS,14990,True,4.5,False,2025-02-18 11:44:27.771341,15260816,VOLKSWAGEN,1,2016,Zylautos Motor,True,Comunidad Valenciana
Golf Variant 2.0TDI 85kW Life DSG,Alicante,56141,Diésel,C,12.0,True,Familiar,5.0,115.0,5,BLANCO,24500,True,,True,2025-02-18 11:44:35.634320,15127827,VOLKSWAGEN,4,2021,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Polo 1.0 TSI Advance 70kW,Alicante,35890,Gasolina,C,12.0,False,Berlina,5.0,95.0,5,BLANCO,17900,True,4.6,True,2025-02-18 11:44:41.755661,15127822,VOLKSWAGEN,5,2021,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Golf 1.0 TSI Advance 85kW,Segovia,96000,Gasolina,C,12.0,False,Berlina,5.0,115.0,5,BLANCO,14500,True,4.8,False,2025-02-18 11:44:47.654334,14603741,VOLKSWAGEN,1,2019,KM 100 SEGOVIA,True,Castilla y León
Formentor 1.5 e-Hybrid 200 VZ Extreme DSG,Alicante,2800,Híbrido Enchufable,0 EMISIONES,24.0,True,Todo Terreno,5.0,272.0,5,GRIS,48500,True,,True,2025-02-18 11:44:53.437668,15127817,CUPRA,8,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Terramar 1.5 eTSI 110 DSG,Alicante,1650,Gasolina,ECO,24.0,True,Todo Terreno,5.0,150.0,5,AZUL,39900,True,,True,2025-02-18 11:45:22.297111,15284031,CUPRA,10,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Tarraco 1.5 TSI S&S Style 150,Alicante,5950,Gasolina,C,48.0,False,Todo Terreno,5.0,150.0,5,GRIS,32500,True,5.8,True,2025-02-18 11:45:29.527751,15259865,SEAT,4,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Kodiaq 2.0TDI AB tech Ambition 4x4 DSG 110kW,Alicante,72999,Diésel,C,12.0,True,Todo Terreno,5.0,150.0,5,AZUL,25999,True,5.7,True,2025-02-18 11:45:37.211838,15254560,SKODA,12,2017,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Ateca 1.5 EcoTSI S&S Style XM,Alicante,15025,Gasolina,C,12.0,False,Todo Terreno,5.0,150.0,5,GRIS,25990,True,,True,2025-02-18 11:45:44.543525,15248423,SEAT,3,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Formentor 1.5 eTSI 150 DSG,Alicante,12810,Gasolina,ECO,24.0,True,Todo Terreno,5.0,150.0,5,AZUL,33900,True,,True,2025-02-18 11:45:50.628333,15237598,CUPRA,7,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Tavascan 77kWh 210kW Endurance,Alicante,2190,Eléctrico,0 EMISIONES,30.0,True,Todo Terreno,5.0,285.0,5,AZUL,38900,True,,True,2025-02-18 11:45:56.626954,15237596,CUPRA,11,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
León 1.0 TSI S&S Style XS 110,Alicante,18099,Gasolina,C,12.0,False,Berlina,5.0,110.0,5,GRIS,21900,True,4.6,True,2025-02-18 11:46:04.505799,15221086,SEAT,4,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Arona 1.5 EcoTSI S&S Special Edition DSG7 150,Alicante,23682,Gasolina,C,12.0,True,Todo Terreno,5.0,150.0,5,GRIS,22890,True,,True,2025-02-18 11:46:10.226817,15221085,SEAT,3,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Vito M1 Familiar Manual de 5 Puertas,Madrid,49000,Diésel,,18.0,False,Familiar,,100.0,5,OTROS,27900,True,,False,2025-02-18 11:46:17.016257,14144000,MERCEDES-BENZ,6,2020,IGL MOTOR,True,Comunidad de Madrid
T-Cross 1.0 TSI Life 85kW,Alicante,9835,Gasolina,C,12.0,False,Todo Terreno,5.0,115.0,5,NEGRO,23490,True,,True,2025-02-18 11:46:23.432633,15195101,VOLKSWAGEN,2,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Aventador LP740-4 S Roadster,Murcia,30200,Gasolina,C,12.0,True,Descapotable o convertible,,,2,AZUL,389000,True,,False,2025-02-18 11:46:29.513430,15377990,LAMBORGHINI,4,2018,CLIPPER CARS,True,Región de Murcia
Golf 2.0TDI Life 85kW,Alicante,5000,Diésel,C,12.0,False,Berlina,5.0,115.0,5,NEGRO,28500,True,,True,2025-02-18 11:46:36.363160,15181773,VOLKSWAGEN,2,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Karoq 1.5 TSI Style ACT DSG,Alicante,4769,Gasolina,C,12.0,True,Todo Terreno,5.0,150.0,5,BLANCO,30000,True,,True,2025-02-18 11:46:44.073985,15148622,SKODA,9,2023,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Ibiza 1.0 MPI Evo S&S Style XM 80,Alicante,20950,Gasolina,C,12.0,False,Berlina,5.0,80.0,5,GRIS,16900,True,,True,2025-02-18 11:46:51.075277,15146045,SEAT,2,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Golf 1.0 eTSI Life DSG 81kW,Alicante,14657,Gasolina,ECO,12.0,True,Berlina,5.0,110.0,5,NEGRO,29900,True,,True,2025-02-18 11:46:57.322459,15140068,VOLKSWAGEN,8,2023,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Enyaq iV 60 132kW,Alicante,2000,Eléctrico,0 EMISIONES,12.0,True,Todo Terreno,5.0,180.0,5,GRIS,33990,True,,True,2025-02-18 11:47:04.071619,15132698,SKODA,6,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Golf 2.0TDI CR BMT Advance DSG 150,Madrid,128000,Diésel,C,12.0,True,Berlina,5.0,150.0,3,BLANCO,14200,True,4.4,False,2025-02-18 11:47:34.131109,15280062,VOLKSWAGEN,9,2015,AUTOMASER,True,Comunidad de Madrid
Polo 1.0 TSI R-Line DSG 81kW,Alicante,5000,Gasolina,C,36.0,True,Berlina,5.0,110.0,5,NEGRO,25200,True,,True,2025-02-18 11:47:40.682517,15407107,VOLKSWAGEN,3,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Golf 1.5 TSI R-Line 110kW,Alicante,5000,Gasolina,C,36.0,False,Berlina,5.0,150.0,5,ROJO,31500,True,,True,2025-02-18 11:47:47.007926,15407106,VOLKSWAGEN,12,2023,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Polo 1.0 TSI R-Line DSG 81kW,Alicante,5000,Gasolina,C,36.0,True,Berlina,5.0,110.0,5,NEGRO,26100,True,,True,2025-02-18 11:47:53.474204,15407105,VOLKSWAGEN,4,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Golf 1.5 TSI Más 85kW,Alicante,2000,Gasolina,C,12.0,False,Berlina,5.0,115.0,5,GRIS,27900,True,,True,2025-02-18 11:47:59.633631,15407104,VOLKSWAGEN,7,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Golf 1.5 TSI Más 85kW,Alicante,6000,Gasolina,C,36.0,False,Berlina,5.0,115.0,5,GRIS,27900,True,,True,2025-02-18 11:48:05.560933,15407103,VOLKSWAGEN,8,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
T-Roc 1.0 TSI Life 85kW,Alicante,18500,Gasolina,C,12.0,False,Todo Terreno,5.0,115.0,5,GRIS,26990,True,,True,2025-02-18 11:48:11.067996,15407102,VOLKSWAGEN,4,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
Scala 1.0 TSI Selection 85kW,Alicante,10000,Gasolina,C,12.0,False,Berlina,5.0,115.0,5,BLANCO,19990,True,,True,2025-02-18 11:48:16.940075,15403663,SKODA,4,2024,VOLKSWAGEN SERRAMOVIL,True,Comunidad Valenciana
