modelo_titulo,provincia,kilometraje,combustible,distintivo_ambiental,garantia,cambio_automatico,carroceria,plazas,potencia,puertas,color,precio,vendedor_profesional,consumo_medio,certificado,fecha_extraccion,referencia,marca_sola,mes_matricula,anio_matricula,nombre_vendedor_profesional,peninsula_y_baleares,comunidad
500X 1.3Mjt S&S Urban 4x2,Málaga,40000,Diésel,C,12.0,False,Todo Terreno,5.0,95.0,5,BLANCO,16300,True,4.2,True,2025-02-18 12:07:12.428172,15412519,FIAT,1,2021,MARTINSA MOTOR,True,Andalucía
Clase C 200 d Berlina,Alicante,8900,Diésel,,36.0,True,Berlina,5.0,163.0,4,GRIS,48900,True,,True,2025-02-18 12:07:19.950389,14593620,MERCEDES-BENZ,6,2024,VISAUTO ALICANTE,True,Comunidad Valenciana
Clase A 180 d Compacto,Alicante,3200,Diésel,,36.0,True,Berlina,5.0,116.0,5,AZUL,36700,True,,True,2025-02-18 12:07:27.200581,14199745,MERCEDES-BENZ,8,2024,VISAUTO ALICANTE,True,Comunidad Valenciana
Qashqai 1.3 DIG-T mHEV 12V N-Connecta 4x2 103kW,Málaga,38000,Gasolina,ECO,12.0,False,Todo Terreno,5.0,140.0,5,GRIS,20800,True,,True,2025-02-18 12:07:35.167155,15412797,NISSAN,1,2021,MARTINSA MOTOR,True,Andalucía
Mini Cooper D Aut.,Madrid,64000,Diésel,C,18.0,True,Berlina,5.0,116.0,5,OTROS,18900,True,3.9,False,2025-02-18 12:07:42.575608,15234847,MINI,6,2019,IGL MOTOR,True,Comunidad de Madrid
Clase B 180 d AMG Line (EURO 6d),Alicante,20617,Diésel,,36.0,True,Berlina,,116.0,5,BLANCO,36900,True,,True,2025-02-18 12:07:50.512013,15409558,MERCEDES-BENZ,1,2024,VISAUTO ALICANTE,True,Comunidad Valenciana
EQB 250+,Alicante,5100,Eléctrico,0 EMISIONES,36.0,True,Todo Terreno,5.0,190.0,5,OTROS,57900,True,,True,2025-02-18 12:07:57.424004,15409537,MERCEDES-BENZ,11,2024,VISAUTO ALICANTE,True,Comunidad Valenciana
Captur TCe Techno 67kW,Málaga,18000,Gasolina,C,24.0,False,Todo Terreno,5.0,90.0,5,GRIS,21300,True,,True,2025-02-18 12:08:03.134672,15422419,RENAULT,3,2024,MARTINSA MOTOR,True,Andalucía
Tucson 1.6CRDI 48V SLE 4x2,Málaga,40000,Diésel,ECO,12.0,False,Todo Terreno,5.0,116.0,5,BLANCO,22300,True,4.2,True,2025-02-18 12:08:11.094335,15422992,HYUNDAI,1,2021,MARTINSA MOTOR,True,Andalucía
XC40 B3 Essential Aut.,Toledo,10,Gasolina,ECO,18.0,True,Todo Terreno,5.0,163.0,5,BLANCO,34490,True,,True,2025-02-18 12:08:17.363777,15441981,VOLVO,11,2024,GRUPO VIÑARÁS TOLEDO,True,Castilla-La Mancha
208 1.2 Puretech S&S Active 75,Tarragona,63772,Gasolina,C,12.0,False,Berlina,5.0,75.0,5,OTROS,11990,True,4.1,False,2025-02-18 12:08:24.879606,14912591,PEUGEOT,5,2020,GO MOTOR.,True,Cataluña
Mokka 1.2T S&S GS 136,Tarragona,14871,Gasolina,C,12.0,False,Todo Terreno,5.0,136.0,5,ROJO,20990,True,,False,2025-02-18 12:08:31.878819,15308619,OPEL,4,2024,GO MOTOR.,True,Cataluña
T-Cross 1.0 TSI Edition,Málaga,30000,Gasolina,C,12.0,False,Todo Terreno,5.0,95.0,5,BLANCO,20300,True,,True,2025-02-18 12:08:37.728630,15426509,VOLKSWAGEN,1,2022,MARTINSA MOTOR,True,Andalucía
Golf GTE 1.4 TSI,Madrid,84016,Híbrido Enchufable,0 EMISIONES,12.0,True,Berlina,5.0,204.0,5,BLANCO,22800,True,1.6,True,2025-02-18 12:08:44.855743,15401433,VOLKSWAGEN,12,2019,"JARMAUTO, concesionario oficial Volkswagen",True,Comunidad de Madrid
A4 35 TFSI Advanced S tronic 110kW,Málaga,53000,Gasolina,ECO,12.0,True,Berlina,5.0,150.0,4,GRIS,24300,True,,True,2025-02-18 12:08:51.406983,15427609,AUDI,8,2019,MARTINSA MOTOR,True,Andalucía
Clase CLS 350d 4Matic Aut.,Sevilla,209000,Diésel,C,12.0,True,Coupe,5.0,286.0,4,AZUL,35990,True,5.7,False,2025-02-18 12:09:29.409227,15326687,MERCEDES-BENZ,11,2019,AUTOS CATA CARS,True,Andalucía
T-Cross 1.0 TSI Advance,Málaga,24000,Gasolina,C,12.0,False,Todo Terreno,5.0,95.0,5,OTROS,20300,True,,True,2025-02-18 12:09:36.448259,15376037,VOLKSWAGEN,4,2021,MARTINSA MOTOR,True,Andalucía
A4 35 TFSI Advanced S tronic 110kW,Málaga,7000,Gasolina,ECO,18.0,True,Berlina,5.0,150.0,4,BLANCO,36300,True,,True,2025-02-18 12:09:43.043674,15382389,AUDI,10,2023,MARTINSA MOTOR,True,Andalucía
Clase SLK 200,Alicante,164325,Gasolina,,18.0,False,Roadster,2.0,136.0,2,ROJO,7800,True,8.1,False,2025-02-18 12:09:50.324529,15218490,MERCEDES-BENZ,2,1998,ANDRADA OCASION,True,Comunidad Valenciana
Arona 1.0 TSI Ecomotive S&S Style 115,Málaga,66000,Gasolina,C,12.0,False,Todo Terreno,5.0,115.0,5,BLANCO,17300,True,4.9,True,2025-02-18 12:09:57.312632,15375646,SEAT,10,2020,MARTINSA MOTOR,True,Andalucía
Corolla hybrid 125H Active,Alicante,79657,Gasolina,C,12.0,True,Familiar,,98.0,5,AZUL,22500,True,,False,2025-02-18 12:10:04.147957,15400599,TOYOTA,1,2022,ANDRADA OCASION,True,Comunidad Valenciana
Qashqai 1.5dCi Tekna DCT 4x2 85kW,Málaga,60000,Diésel,C,12.0,True,Todo Terreno,5.0,115.0,5,NEGRO,23300,True,4.2,True,2025-02-18 12:10:17.892856,15373418,NISSAN,11,2020,MARTINSA MOTOR,True,Andalucía
Serie 3 318dA Touring M Sport,Málaga,17000,Diésel,ECO,12.0,True,Familiar,5.0,150.0,5,NEGRO,44300,True,,True,2025-02-18 12:10:26.090010,15369511,BMW,4,2024,MARTINSA MOTOR,True,Andalucía
Freemont 2.0 Mjt 170 CV 4x4 aut. Park Avenue,Alicante,122807,Diésel,,12.0,True,Monovolumen,,170.0,5,BLANCO,13900,True,,False,2025-02-18 12:10:31.270697,14524614,FIAT,9,2012,ANDRADA OCASION,True,Comunidad Valenciana
X1 sDrive 18dA,Málaga,52000,Diésel,C,12.0,True,Todo Terreno,5.0,150.0,5,BLANCO,30300,True,,True,2025-02-18 12:10:38.343070,15368481,BMW,1,2022,MARTINSA MOTOR,True,Andalucía
Clase E 200 Berlina Aut.,Alicante,138350,Gasolina,C,12.0,True,Familiar,,184.0,4,NEGRO,20300,True,,False,2025-02-18 12:10:44.870370,15071343,MERCEDES-BENZ,5,2016,ANDRADA OCASION,True,Comunidad Valenciana
500 1.0 Hybrid Dolcevita 52kW,Málaga,64000,Gasolina,ECO,12.0,False,Berlina,4.0,70.0,3,BLANCO,12300,True,,True,2025-02-18 12:10:51.620981,15366055,FIAT,5,2022,MARTINSA MOTOR,True,Andalucía
Tiguan 2.0TDI BMT Cross 4x2 110,Valencia,137000,Diésel,C,18.0,False,Todo Terreno,5.0,110.0,5,NEGRO,13500,True,5.3,False,2025-02-18 12:10:57.805907,15025972,VOLKSWAGEN,5,2014,KM AUTOS,True,Comunidad Valenciana
V40 D2 Kinetic 120,Sevilla,260000,Diésel,C,12.0,False,Berlina,5.0,120.0,5,BLANCO,10000,True,3.4,False,2025-02-18 12:11:03.327413,15412910,VOLVO,1,2017,AUTOCASION CABAS,True,Andalucía
Clase GLE 350d 4Matic Aut.,Sevilla,70960,Diésel,C,12.0,True,Todo Terreno,5.0,258.0,5,NEGRO,48800,True,,False,2025-02-18 12:11:09.614295,15412893,MERCEDES-BENZ,1,2018,AUTOCASION CABAS,True,Andalucía
C-HR 125H Advance,Málaga,22000,Híbrido,ECO,12.0,True,Todo Terreno,5.0,122.0,5,BLANCO,27800,True,,True,2025-02-18 12:11:40.058787,15362884,TOYOTA,6,2022,MARTINSA MOTOR,True,Andalucía
X3 xDrive 20dA xLine,Málaga,28000,Diésel,ECO,12.0,True,Todo Terreno,5.0,190.0,5,GRIS,48300,True,,True,2025-02-18 12:11:48.310972,15352962,BMW,6,2023,MARTINSA MOTOR,True,Andalucía
T-Cross 1.0 TSI Advance DSG7 81kW,Málaga,49000,Gasolina,C,12.0,True,Todo Terreno,5.0,110.0,5,OTROS,22300,True,,True,2025-02-18 12:11:55.434113,15362859,VOLKSWAGEN,6,2022,MARTINSA MOTOR,True,Andalucía
XC40 T2 Momentum Core,Málaga,34000,Gasolina,C,12.0,False,Todo Terreno,5.0,129.0,5,NEGRO,25800,True,6.3,False,2025-02-18 12:12:00.958994,15352708,VOLVO,11,2020,MARTINSA MOTOR,True,Andalucía
Micra IG-T N-Desing Black 92,Málaga,30000,Gasolina,C,12.0,False,Berlina,5.0,92.0,5,BLANCO,16300,True,,True,2025-02-18 12:12:09.038661,15346378,NISSAN,9,2022,MARTINSA MOTOR,True,Andalucía
Qashqai 1.3 DIG-T N-Connecta 4x2 DCT 117kW,Málaga,37000,Gasolina,C,12.0,True,Todo Terreno,5.0,160.0,5,OTROS,24300,True,5.4,True,2025-02-18 12:12:16.217022,15346137,NISSAN,4,2021,MARTINSA MOTOR,True,Andalucía
XC40 T2 R-Design Aut.,Málaga,25000,Gasolina,C,12.0,True,Todo Terreno,5.0,129.0,5,OTROS,30300,True,6.5,False,2025-02-18 12:12:21.391019,15337801,VOLVO,11,2021,MARTINSA MOTOR,True,Andalucía
Panda 1.0 Gse City Live Hybrid,Málaga,17000,Gasolina,ECO,12.0,False,Berlina,4.0,70.0,5,NEGRO,12300,True,4.2,True,2025-02-18 12:12:28.069922,15335290,FIAT,5,2023,MARTINSA MOTOR,True,Andalucía
