nombre,calle,municipio,provincia,codigo_postal
Ammar Machinery Concept S.L.U,Avenida Castelló 5,Benidorm,,3503.0
AMOTOR,"C/Mosquerola,37",Vilablareix,Girona,17180.0
Ana Maria Pastor Hernandez,Domicilio Fiscal,Torrevieja,,3181.0
ANDALGROUP COCHES SIN CARNET,Calle Metalurgia 73 Poligono Industrial Calonge,Sevilla,Sevilla,41007.0
ANDIKO AUTOAK,"Poligono Okamika Modulo 1 , 2 B,",Vizcaya,Vizcaya,48289.0
ANDRADA CARS,Avenida.rio De Janeiro 42 Pta.-1,Barcelona,Barcelona,8016.0
ANDRADA OCASION,Altar Nº 2,Jávea,Alicante,3730.0
Andrema Motor,"Diseminado Rio, 190,",Lorca,Murcia,30800.0
ANDRÉS GONZÁLEZ SANZ EXCAVACIONES S. L.,Plaza Mayor Nº 5,Cerceda,,28412.0
ANDRONEBULA SL,Tarragona,Tarragona,Tarragona,43700.0
ANGALTRUCK,"Calle Malta (Pol. Ind.santa Teresa), 17",Malaga,Málaga,29004.0
Angel Vehículos Seminuevos,-,Alcazar de san juan,Ciudad real,13600.0
Anicovem S.L.,"P.i. Piedra Hincada Calle 1, Nave 9",Alcala de guadaira,,41500.0
ANLOBER,,,Barcelona,0.0
ANNA FONT FABREGÓ,"Can Baldiri, S/N, Carretera De La Gleva, Km21",Manlleu,,8560.0
Anper Ocasion,"Calle De Ruperto Chapi, 13",Madrid,Madrid,28100.0
Anrour,"C/ Dos Hermanas 12 5 2,",Leon,León,24005.0
ANTONAUTO,Calle La Granja 76,Alcobendas,Madrid,28100.0
ANTONIO BRAVO,"Ctra. Madrid-Lisboa, Km. 397 Apdo. Correos 329",Badajoz,Badajoz,6008.0
"ANTONIO DOMINGUEZ, S.L.",,,Cádiz,0.0
ANTONIO FEITO S.A.,"Av. Gumersindo Llorente, 24",Madrid,,28022.0
Antonio Ocasion,Concertar Cita Previa,Malaga,Málaga,29003.0
ANTONIO TORRES MARTIN,"La Maso, 10",Madrid,Madrid,28034.0
ANZEVE S.L.,"C/ Diego Marín Aguilera, 4, Parque Tecnológico De Leganés",Leganés,,28919.0
APASIONAUTO,Jupiter 2,Godelleta,Valencia,46388.0
APE PLATAFORMAS ELEVADORAS,Cobalto 168,Hospitalet llobregat,,8907.0
"APER DIAMOND, S.L.U.",Diego Marin Aguilera 4,Madrid,,28919.0
APOU,"Via Ausetania, 3",Manlleu,Barcelona,8560.0
Apoyo Dursan Madrid Torrejón,"Avda. De Madrid, 7",Arganda del rey,Madrid,28500.0
APT CAR,C/ Vic 8-10,Granollers,Barcelona,8403.0
AQUASONDA SL,"C/ Los Alcornocales, 28",Torre del mar,,29740.0
AQUITUCOCHE,"Cuadra Morteras Nave 9Bh, S/N",Castellón de la plana,Castellón,12006.0
AR MOTOR,Calle Rua Remedios 21,Ourense,Orense,32002.0
Aracars,- Cita Previa-,Zaragoza,Zaragoza,50005.0
Aragonesa de Recambios para Limpieza SL,Venta 29,Cadrete,,50420.0
ARAMÓVIL,"Avenida Alcalde Caballero, 54",Zaragoza,Zaragoza,50014.0
"ARAVI, S.L.",,,Zaragoza,0.0
ARCI MOTOR,Avda. Narciso Monturiol Parcela 2,Arcos de la frontera,Cádiz,11630.0
"ARCOMÓVIL, concesionario oficial Ford","Ctra. Madrid, Km. 389",Murcia,Murcia,30100.0
ÁREA AUTOEXPO,"Poligono Industrial Francoli, Calle E, Parcela 14",Tarragona,Tarragona,43006.0
AREA EL 9 COTXES,Calle Sant Gil 12-14,Tora,Lleida,25750.0
AREIA VEHICULOS DE OCASION,García Martín 9 Planta 4,Pozuelo de alarcón,Madrid,28224.0
Arevalo Logistics,Concertar Cita Previa,Ribarroja,Valencia,46394.0
ARGÜELLES CARS S.L,"Galileo, 7",Madrid,Madrid,28015.0
Aridos del Noroeste S.L,"Bispo Romero Lema, S/N,",La coruña,La coruña,15150.0
Áridos Técnicos,"Ctra Valencia Km 14,8",Madrid,Madrid,28051.0
ARIES,"Ctra. Madrid-Toledo, Km. 63.500",Olias del rey,Toledo,45280.0
ARIES VN -STOCK,"Ctra. Madrid-Toledo, Km. 63.500",Toledo,Toledo,45280.0
ARLANZON MOTOR CUPRA,"Crta. Madrid - Irun, Km.234,400",Burgos,Burgos,9001.0
ARLANZON MOTOR SEAT,"Crta. Madrid - Irun, Km.234,400",Burgos,Burgos,9001.0
"ARNABAT, S.A.",,,Barcelona,0.0
ARNAIZ TRANSPORTES Y EXCAVACIONES.,"Gaita, Nº5.",Valladolid,,47170.0
ARROBAMOTOR,"Ctra. Barcelona, 116",Ripollet,Barcelona,8291.0
ARTES MOTOR S.L.,Manresa 106,Artés,Barcelona,8271.0
AS AUTOMÓVILES.,"C/ Zurich, 1",Las rozas,Madrid,28232.0
AS COMPRA & VENTA CARS,-,Pilar de la horadada,Alicante,3190.0
ASAUTO HOUSE,C/ Ñora 1,Piedrasblancas,Asturias,33450.0
ASautos,C/ De Alfredo Corrochano 69,Malaga,Málaga,29006.0
Ascendum Maquinaria,,,Madrid,0.0
ASENCIO AUTOMOCION,Ctra Arcos-El Bosque Km 1,Arcos de la frontera,Cádiz,11630.0
ASESCAR JAEN.,C/ Mancha Real 7,Jaen,Jaén,23009.0
ASHT ON POR T AL LIMITED,"Rúa Río Miño, 13 Spain",Pontevedra,Pontevedra,36163.0
Asphalt Cars,"Partida Capitana, 5","Guardamar del segura,",Alicante,3140.0
ASTER AUTOS,"Ctra. Ll-11 Km. 9,4",Lleida,Lleida,25191.0
ASTIAUTO DONOSTI,"Calle Urdaneta Bidea, 1 Bajo 14",Zarautz,Guipúzcoa,20800.0
ASTON MARTIN TAYRE,"Glorieta Lopez De Hoyos, 5",Madrid,Madrid,28002.0
ASTURBENZ,Avda. Gijon Nº 136,Aviles,Asturias,33460.0
ASTURJAVE,"Avenida Del Zinc 51,",Asturias,Asturias,33490.0
ASV Motor,Calle Picasso Nº50,Palafrugell,Girona,17200.0
ASV MOTORSPORT,Vicente Aleixandre 15,Salinas,Alicante,3638.0
"ATHLON CAR LEASE SPAIN,S.A.",Crta.nacional 152-Z Km.16,Santa perpetua de la mogoda,Barcelona,8130.0
ATHLON CAR LEASE SPAIN.,Camino De Los Malatones S/N,Algete,Madrid,28110.0
Atlantic machinery equipment Sl,Avenida Europa 15,Cerdanyola del valles,,8290.0
ATLANTICENT,"C. Doctor Fleming 61, P.1,",Castelldefels,Barcelona,8860.0
ATM AUTOMOCION,Camí Del Mig 49,Cabrera de mar,Barcelona,8349.0
"ATURSA AUTOMOCION, acuerdo Ford",Avenida Ausias March 81,Valencia,Valencia,46013.0
AUCALGA,Carretera De La Estacion Nº 4- Nave 20,Siero,Asturias,33429.0
AUDI ALZAGA MOTOR,"Ctra. Bilbao-Galdakao, 28",Bilbao,Vizcaya,48004.0
AUDI ALZAGA MOTOR - VITORIA,Alto De Armentia 8,Vitoria-gasteiz,Álava,1007.0
AUDI CENTER PALMA,Camino Viejo De Bunyola 19,Palma de mallorca,Islas baleares,7009.0
AUDI CENTER ZARAGOZA,C/ Langa Del Castillo 10,Zaragoza,Zaragoza,50013.0
AUDI HELMANTICA SALAMANCA,"Calzada De Toro, 37-45",Villares de la reina,Salamanca,37184.0
AUDI HELMANTICA VN,"Calzada De Toro, 37-45",Villares de la reina,Salamanca,37184.0
AUDI HUERTAS MOTOR CARTAGENA,"Avenida Juan Carlos I, 80",Cartagena,Murcia,30313.0
